size,draw,task,seed,acc,eps,support_size
31,2,present-past,0,0.88,0.7939,4
31,2,present-past,1,0.88,0.749,4
31,3,present-past,0,0.88,0.7939,4
31,3,present-past,1,0.88,0.749,4
31,4,present-past,0,0.88,0.7939,4
31,4,present-past,1,0.88,0.749,4
5,0,next-item,0,0.0,0.891,5
5,0,next-item,1,0.0,0.876,5
5,1,next-item,0,0.28,0.8829,5
5,1,next-item,1,0.4,0.9019,5
5,2,next-item,0,0.36,0.9056,5
5,2,next-item,1,0.28,0.913,5
5,3,next-item,0,0.36,0.7211,5
5,3,next-item,1,0.32,0.7555,5
5,4,next-item,0,0.0,0.8813,5
5,4,next-item,1,0.0,0.9102,5
10,0,next-item,0,0.48,0.6866,3
10,0,next-item,1,0.32,0.7002,4
10,1,next-item,0,0.6,0.9179,4
10,1,next-item,1,0.6,0.9393,4
10,2,next-item,0,0.48,0.9267,4
10,2,next-item,1,0.56,0.9589,1
10,3,next-item,0,0.52,0.9284,4
10,3,next-item,1,0.48,0.9379,5
10,4,next-item,0,0.36,0.6963,4
10,4,next-item,1,0.36,0.7057,5
15,0,next-item,0,0.56,0.9096,4
15,0,next-item,1,0.64,0.9351,3
15,1,next-item,0,0.48,0.6858,4
15,1,next-item,1,0.52,0.7033,5
15,2,next-item,0,0.4,0.6672,2
15,2,next-item,1,0.4,0.6871,1
15,3,next-item,0,0.6,0.9654,3
15,3,next-item,1,0.56,0.9521,5
15,4,next-item,0,0.64,0.9817,2
15,4,next-item,1,0.56,0.969,4
20,0,next-item,0,0.48,0.6842,2
20,0,next-item,1,0.36,0.6996,5
20,1,next-item,0,0.48,0.6824,3
20,1,next-item,1,0.28,0.7033,4
20,2,next-item,0,0.4,0.6743,3
20,2,next-item,1,0.36,0.6954,2
20,3,next-item,0,0.36,0.6715,3
20,3,next-item,1,0.36,0.6872,2
20,4,next-item,0,0.48,0.6763,3
20,4,next-item,1,0.4,0.6957,5
25,0,next-item,0,0.48,0.6767,3
25,0,next-item,1,0.28,0.6959,5
25,1,next-item,0,0.48,0.8947,5
25,1,next-item,1,0.56,0.9544,3
25,2,next-item,0,0.6,0.9234,2
25,2,next-item,1,0.64,0.9282,5
25,3,next-item,0,0.52,0.9195,3
25,3,next-item,1,0.56,0.9525,2
25,4,next-item,0,0.52,0.6757,3
25,4,next-item,1,0.48,0.6924,3
31,0,next-item,0,0.48,0.6739,3
31,0,next-item,1,0.44,0.6947,5
31,1,next-item,0,0.48,0.6739,3
31,1,next-item,1,0.44,0.6947,5
31,2,next-item,0,0.48,0.6739,3
31,2,next-item,1,0.44,0.6947,5
31,3,next-item,0,0.48,0.6739,3
31,3,next-item,1,0.44,0.6947,5
31,4,next-item,0,0.48,0.6739,3
31,4,next-item,1,0.44,0.6947,5
5,0,person-sport,0,0.0,0.8789,5
5,0,person-sport,1,0.0,0.8716,5
5,1,person-sport,0,0.0,0.8646,5
5,1,person-sport,1,0.0,0.8581,5
5,2,person-sport,0,0.0,0.8791,5
5,2,person-sport,1,0.0,0.878,5
5,3,person-sport,0,0.0,0.9066,5
5,3,person-sport,1,0.0,0.8956,5
5,4,person-sport,0,0.0,0.7884,5
5,4,person-sport,1,0.0,0.7728,5
10,0,person-sport,0,0.0,0.9177,4
10,0,person-sport,1,0.0,0.8826,4
10,1,person-sport,0,0.0,0.8406,3
10,1,person-sport,1,0.0,0.8131,4
10,2,person-sport,0,0.0,0.864,5
10,2,person-sport,1,0.0,0.8675,4
10,3,person-sport,0,0.0,0.7433,3
10,3,person-sport,1,0.0,0.6839,5
10,4,person-sport,0,0.0,0.7012,5
10,4,person-sport,1,0.0,0.681,4
15,0,person-sport,0,0.0,0.8468,3
15,0,person-sport,1,0.0,0.8219,5
15,1,person-sport,0,0.0,0.7344,3
15,1,person-sport,1,0.0,0.6708,5
15,2,person-sport,0,0.0,0.7381,3
15,2,person-sport,1,0.0,0.7078,4
15,3,person-sport,0,0.08,0.915,3
15,3,person-sport,1,0.08,0.8788,4
15,4,person-sport,0,0.0,0.7459,4
15,4,person-sport,1,0.0,0.6949,4
20,0,person-sport,0,0.0,0.7353,3
20,0,person-sport,1,0.0,0.698,3
20,1,person-sport,0,0.08,0.8819,5
20,1,person-sport,1,0.08,0.8668,3
20,2,person-sport,0,0.0,0.7006,5
20,2,person-sport,1,0.0,0.6504,5
20,3,person-sport,0,0.0,0.7341,4
20,3,person-sport,1,0.0,0.6899,5
20,4,person-sport,0,0.0,0.804,3
20,4,person-sport,1,0.0,0.729,5
25,0,person-sport,0,0.0,0.7066,4
25,0,person-sport,1,0.0,0.6997,4
25,1,person-sport,0,0.0,0.7024,4
25,1,person-sport,1,0.0,0.6616,5
25,2,person-sport,0,0.0,0.7298,4
25,2,person-sport,1,0.0,0.6685,4
25,3,person-sport,0,0.0,0.7244,4
25,3,person-sport,1,0.0,0.6764,5
25,4,person-sport,0,0.0,0.7272,3
25,4,person-sport,1,0.0,0.6915,5
31,0,person-sport,0,0.0,0.7059,4
31,0,person-sport,1,0.0,0.6805,4
31,1,person-sport,0,0.0,0.7059,4
31,1,person-sport,1,0.0,0.6805,4
31,2,person-sport,0,0.0,0.7059,4
31,2,person-sport,1,0.0,0.6805,4
31,3,person-sport,0,0.0,0.7059,4
31,3,person-sport,1,0.0,0.6805,4
31,4,person-sport,0,0.0,0.7059,4
31,4,person-sport,1,0.0,0.6805,4
