task,family,k,acc_syn,acc_zs,acc_icl,acc_oracle,acc_naive,rho,rho_icl,eps,support_size
english-french,translation,1,0.22399999999999998,0.0,0.7799999999999999,0.4,0.0,0.5599999999999999,0.28717948717948716,0.97204,4.2
english-french,translation,2,0.636,0.0,0.7799999999999999,0.4,0.0,1.5899999999999999,0.8153846153846155,0.92768,3.4
english-french,translation,4,0.308,0.0,0.7799999999999999,0.4,0.0,0.7699999999999999,0.3948717948717949,0.71908,4.0
english-german,translation,1,0.44000000000000006,0.0,0.7533333333333333,0.38,0.0,1.1578947368421053,0.5840707964601771,0.9761599999999999,3.0
english-german,translation,2,0.648,0.0,0.7533333333333333,0.38,0.0,1.7052631578947368,0.8601769911504425,0.93302,4.0
english-german,translation,4,0.22400000000000003,0.0,0.7533333333333333,0.38,0.0,0.5894736842105264,0.2973451327433629,0.62124,4.0
english-spanish,translation,1,0.516,0.0,0.8933333333333334,0.48,0.0,1.0750000000000002,0.5776119402985074,0.97776,3.2
english-spanish,translation,2,0.756,0.0,0.8933333333333334,0.48,0.0,1.5750000000000002,0.8462686567164178,0.91156,4.0
english-spanish,translation,4,0.536,0.0,0.8933333333333334,0.48,0.0,1.1166666666666667,0.6,0.5956400000000001,4.0
fruit-from-list,selection,1,0.064,0.0,0.98,0.6,0.0,0.10666666666666667,0.0653061224489796,0.9322799999999999,4.4
fruit-from-list,selection,2,0.48,0.0,0.98,0.6,0.0,0.8,0.4897959183673469,0.77694,4.6
fruit-from-list,selection,4,0.556,0.0,0.98,0.6,0.0,0.9266666666666667,0.5673469387755102,0.5711,4.6
landmark-country,knowledge,1,0.16,0.0,0.8866666666666667,0.72,0.0,0.22222222222222224,0.18045112781954886,0.9752400000000001,3.8
landmark-country,knowledge,2,0.45600000000000007,0.0,0.8866666666666667,0.72,0.0,0.6333333333333334,0.5142857142857143,0.9400600000000001,2.8
landmark-country,knowledge,4,0.504,0.0,0.8866666666666667,0.72,0.0,0.7000000000000001,0.5684210526315789,0.65934,4.4
lowercase-first-letter,linguistic,1,0.276,0.02,0.9933333333333333,0.7,0.02,0.37647058823529417,0.263013698630137,0.96196,4.0
