task,family,k,acc_syn,acc_zs,acc_icl,acc_oracle,acc_naive,rho,rho_icl,eps,support_size
next-capital-letter,algorithmic,1,0.0,0.0,0.07333333333333335,0.0,0.0,,0.0,0.9651799999999999,4.4
next-capital-letter,algorithmic,2,0.032,0.0,0.07333333333333335,0.0,0.0,,0.4363636363636363,0.90442,4.8
next-capital-letter,algorithmic,4,0.0,0.0,0.07333333333333335,0.0,0.0,,0.0,0.7102600000000001,4.8
next-item,algorithmic,1,0.06,0.0,0.9466666666666667,0.94,0.0,0.06382978723404255,0.06338028169014084,0.93998,4.0
next-item,algorithmic,2,0.2,0.0,0.9466666666666667,0.94,0.0,0.21276595744680854,0.21126760563380284,0.92272,3.4
next-item,algorithmic,4,0.41600000000000004,0.0,0.9466666666666667,0.94,0.0,0.4425531914893618,0.4394366197183099,0.72384,3.0
park-country,knowledge,1,0.28400000000000003,0.0,0.8333333333333334,0.8,0.04,0.35500000000000004,0.34080000000000005,0.97804,3.4
park-country,knowledge,2,0.748,0.0,0.8333333333333334,0.8,0.04,0.9349999999999999,0.8976,0.93564,3.2
park-country,knowledge,4,0.7600000000000001,0.0,0.8333333333333334,0.8,0.04,0.9500000000000001,0.9120000000000001,0.6766000000000001,4.4
person-instrument,knowledge,1,0.004,0.0,0.7666666666666666,0.0,0.0,,0.0052173913043478265,0.9869199999999999,3.4
person-instrument,knowledge,2,0.004,0.0,0.7666666666666666,0.0,0.0,,0.0052173913043478265,0.98658,2.2
person-instrument,knowledge,4,0.0,0.0,0.7666666666666666,0.0,0.0,,0.0,0.82774,4.0
person-occupation,knowledge,1,0.04,0.0,0.5866666666666668,0.1,0.0,0.39999999999999997,0.06818181818181818,0.9888399999999999,3.0
person-occupation,knowledge,2,0.048,0.0,0.5866666666666668,0.1,0.0,0.48,0.0818181818181818,0.9845599999999999,3.4
person-occupation,knowledge,4,0.016,0.0,0.5866666666666668,0.1,0.0,0.16,0.027272727272727268,0.7353799999999999,4.6
person-sport,knowledge,1,0.06799999999999999,0.0,0.9666666666666667,0.4,0.0,0.16999999999999996,0.07034482758620689,0.9802199999999999,3.0
person-sport,knowledge,2,0.14,0.0,0.9666666666666667,0.4,0.0,0.35000000000000003,0.14482758620689656,0.9511199999999999,4.2
